country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",26-04-2025 18:00:00,26.83399722,80.8917361,PM2.5,76,233,158
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",26-04-2025 18:00:00,26.83399722,80.8917361,PM10,68,348,166
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",26-04-2025 18:00:00,26.83399722,80.8917361,NH3,9,18,13
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",26-04-2025 18:00:00,26.83399722,80.8917361,SO2,1,62,14
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",26-04-2025 18:00:00,26.83399722,80.8917361,OZONE,2,80,49
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",26-04-2025 18:00:00,28.5447608,77.3231257,NH3,13,28,19
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",26-04-2025 18:00:00,28.5447608,77.3231257,SO2,9,34,21
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",26-04-2025 18:00:00,28.56923,77.393848,PM10,69,286,192
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",26-04-2025 18:00:00,28.56923,77.393848,NH3,5,20,12
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",26-04-2025 18:00:00,28.56923,77.393848,SO2,25,71,47
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",26-04-2025 18:00:00,25.425602,81.917152,CO,10,72,16
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",26-04-2025 18:00:00,25.425602,81.917152,OZONE,4,114,73
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",26-04-2025 18:00:00,25.494,81.863,PM10,56,153,103
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",26-04-2025 18:00:00,25.44919916,81.82735986,PM10,59,178,113
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",26-04-2025 18:00:00,28.557054,77.453663,PM2.5,25,315,173
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",26-04-2025 18:00:00,28.557054,77.453663,PM10,73,500,271
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",26-04-2025 18:00:00,28.725645,77.749675,PM10,50,234,135
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",26-04-2025 18:00:00,28.725645,77.749675,OZONE,1,96,84
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",26-04-2025 18:00:00,25.4547,78.6039,PM10,48,229,115
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",26-04-2025 18:00:00,25.4547,78.6039,CO,8,102,13
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",26-04-2025 18:00:00,26.428282,80.327067,NO2,17,17,17
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",26-04-2025 18:00:00,26.509954,80.249612,PM2.5,20,179,58
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",26-04-2025 18:00:00,28.685382,77.453839,NO2,99,239,150
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",26-04-2025 18:00:00,28.685382,77.453839,NH3,7,11,9
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",26-04-2025 18:00:00,28.6603346,77.3572563,NO2,11,216,102
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",26-04-2025 18:00:00,26.730136,83.433859,NO2,11,11,11
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",26-04-2025 18:00:00,26.730136,83.433859,OZONE,7,23,17
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",26-04-2025 18:00:00,28.47272,77.482,NO2,15,218,115
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",26-04-2025 18:00:00,28.47272,77.482,NH3,5,12,8
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",26-04-2025 18:00:00,28.47272,77.482,CO,10,103,16
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26-04-2025 18:00:00,28.406963,77.849831,SO2,4,77,35
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",26-04-2025 18:00:00,28.406963,77.849831,CO,18,107,28
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",26-04-2025 18:00:00,27.168897,78.37696,PM2.5,15,132,60
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",26-04-2025 18:00:00,27.168897,78.37696,PM10,37,147,88
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB",26-04-2025 18:00:00,27.1594,78.3953,NH3,2,2,2
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",26-04-2025 18:00:00,28.646233,77.358075,PM2.5,51,393,227
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",26-04-2025 18:00:00,28.646233,77.358075,PM10,61,418,171
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",26-04-2025 18:00:00,28.646233,77.358075,NO2,18,204,120
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",26-04-2025 18:00:00,26.4703136,80.3229863,PM2.5,NA,NA,NA
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",26-04-2025 18:00:00,26.766433,80.927299,PM10,64,225,139
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",26-04-2025 18:00:00,26.766433,80.927299,NO2,12,12,12
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",26-04-2025 18:00:00,26.766433,80.927299,NH3,2,4,3
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",26-04-2025 18:00:00,26.86812,81.005119,PM2.5,66,210,133
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",26-04-2025 18:00:00,26.86812,81.005119,PM10,46,104,78
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",26-04-2025 18:00:00,26.86812,81.005119,OZONE,42,53,52
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",26-04-2025 18:00:00,27.169338,78.03582,SO2,54,73,63
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB",26-04-2025 18:00:00,27.19862,77.92066,NH3,2,15,3
